"Player";"G";"FG";"FT";"PPG";"PTS";"TS";"P3";"P3P";"P2";"P2P";"P1";"P1P"
"KareemAbdul-Jabbar";1560;15837;6712;24,6;38387;22549;1;0;15836;70,23;6712;29,77
"KarlMalone";1476;13528;9787;25;36928;23315;85;0,36;13443;57,66;9787;41,98
"KobeBryant";1280;11321;8146;25,4;32482;19467;1694;8,7;9627;49,45;8146;41,85
"MichaelJordan";1072;12192;7327;30,1;32292;19519;581;2,98;11611;59,49;7327;37,54
"WiltChamberlain";1045;12681;6057;30,1;31419;18738;0;0;12681;67,68;6057;32,32
"ShaquilleO'Neal";1207;11330;5935;23,7;28596;17265;1;0,01;11329;65,62;5935;34,38
"DirkNowitzki";1265;9894;6756;22,2;28119;16650;1575;9,46;8319;49,96;6756;40,58
"MosesMalone";1329;9435;8531;20,6;27409;17966;8;0,04;9427;52,47;8531;47,48
"ElvinHayes";1303;10976;5356;21;27313;16332;5;0,03;10971;67,17;5356;32,79
"HakeemOlajuwon";1238;10749;5423;21,8;26946;16172;25;0,15;10724;66,31;5423;33,53
"OscarRobertson";1040;9508;7694;25,7;26710;17202;0;0;9508;55,27;7694;44,73
"DominiqueWilkins";1074;9963;6031;24,8;26668;15994;711;4,45;9252;57,85;6031;37,71
"JohnHavlicek";1270;10513;5369;20,8;26395;15882;0;0;10513;66,19;5369;33,81
"TimDuncan";1331;10070;5804;19,5;25974;15874;30;0,19;10040;63,25;5804;36,56
"KevinGarnett";1424;10451;4873;18,2;25949;15324;174;1,14;10277;67,06;4873;31,8
"PaulPierce";1250;8496;6854;20,7;25899;15350;2053;13,37;6443;41,97;6854;44,65
"AlexEnglish";1193;10659;4277;21,5;25613;14936;18;0,12;10641;71,24;4277;28,64
"ReggieMiller";1389;8241;6237;18,2;25279;14478;2560;17,68;5681;39,24;6237;43,08
"JerryWest";932;9016;7160;27;25192;16176;0;0;9016;55,74;7160;44,26
"LeBronJames";911;8950;5757;27,3;24913;14707;1256;8,54;7694;52,32;5757;39,14
"PatrickEwing";1183;9702;5392;21;24815;15094;19;0,13;9683;64,15;5392;35,72
"RayAllen";1300;8567;4398;18,9;24505;12965;2973;22,93;5594;43,15;4398;33,92
"AllenIverson";914;8467;6375;26,7;24368;14842;1059;7,14;7408;49,91;6375;42,95
"CharlesBarkley";1073;8435;6349;22,1;23757;14784;538;3,64;7897;53,42;6349;42,95
"VinceCarter";1214;8550;4596;19,4;23574;13146;1878;14,29;6672;50,75;4596;34,96
"RobertParish";1611;9614;4106;14,5;23334;13720;0;0;9614;70,07;4106;29,93
"AdrianDantley";955;8169;6832;24,3;23177;15001;7;0,05;8162;54,41;6832;45,54
"ElginBaylor";846;8693;5763;27,4;23149;14456;0;0;8693;60,13;5763;39,87
"ClydeDrexler";1086;8335;4698;20,4;22195;13033;827;6,35;7508;57,61;4698;36,05
"GaryPayton";1335;8708;3265;16,3;21813;11973;1132;9,45;7576;63,28;3265;27,27
